product_id,price,product_taxonomies,Unnamed: 3,Rows: 30
PRD001,67.45,frozen,,
PRD002,188.07,beverage,,
PRD003,174.02,personal_care,,
PRD004,224.66,dairy,,
PRD005,35.43,cleaning,,
PRD006,114.15,personal_care,,
PRD007,22.0,dairy,,
PRD008,66.38,personal_care,,
PRD009,133.76,snack,,
PRD010,21.24,cleaning,,
PRD011,61.73,beverage,,
PRD012,167.72,beverage,,
PRD013,143.06,cleaning,,
PRD014,66.8,snack,,
PRD015,153.48,dairy,,
PRD016,205.22,beverage,,
PRD017,16.53,snack,,
PRD018,204.37,beverage,,
PRD019,179.06,frozen,,
PRD020,94.96,dairy,,
PRD021,51.54,frozen,,
PRD022,239.95,cleaning,,
PRD023,94.1,dairy,,
PRD024,36.8,snack,,
PRD025,37.73,dairy,,
PRD026,214.16,dairy,,
PRD027,156.88,snack,,
PRD028,204.68,cleaning,,
PRD029,186.49,dairy,,
PRD030,141.01,cleaning,,
