promotion_id,discount,product_id,start_date,end_date,Unnamed: 5,Rows: 12
PROMO001,0.25,PRD009,2024-10-02,2024-10-11,,
PROMO002,0.05,PRD029,2024-03-08,2024-03-22,,
PROMO003,0.15,PRD006,2024-05-05,2024-05-19,,
PROMO004,0.3,PRD010,2024-08-12,2024-09-01,,
PROMO005,0.05,PRD022,2024-11-09,2024-11-28,,
PROMO006,0.3,PRD004,2024-10-10,2024-10-22,,
PROMO007,0.05,PRD029,2024-03-09,2024-03-20,,
PROMO008,0.1,PRD009,2024-02-24,2024-03-15,,
PROMO009,0.3,PRD011,2024-05-24,2024-06-02,,
PROMO010,0.25,PRD016,2024-04-14,2024-04-25,,
PROMO011,0.05,PRD021,2024-05-08,2024-05-12,,
PROMO012,0.05,PRD001,2024-08-04,2024-08-15,,
