po_id,receive_date,transfer_date,store_id,warehouse_id,qty,Unnamed: 6,Rows: 300
PO0053,2024-06-01,2024-06-03,ST001,WH03,47,,
PO0098,2024-07-06,2024-07-10,ST002,WH03,35,,
PO0028,2024-08-27,2024-09-01,ST003,WH03,145,,
PO0064,2024-04-12,2024-04-14,ST003,WH03,71,,
PO0064,2024-04-12,2024-04-15,ST001,WH03,69,,
PO0078,2024-11-10,2024-11-12,ST002,WH03,35,,
PO0006,2024-08-10,2024-08-11,ST004,WH01,10,,
PO0008,2024-05-16,2024-05-21,ST001,WH02,68,,
PO0001,2024-06-26,2024-06-29,ST005,WH03,34,,
PO0056,2024-06-26,2024-06-27,ST006,WH02,24,,
PO0034,2024-08-07,2024-08-08,ST005,WH02,81,,
PO0027,2024-08-13,2024-08-18,ST002,WH01,30,,
PO0050,2024-10-19,2024-10-23,ST006,WH03,87,,
PO0026,2024-08-01,2024-08-02,ST002,WH01,21,,
PO0076,2024-11-10,2024-11-13,ST004,WH02,17,,
PO0047,2024-03-08,2024-03-10,ST005,WH02,44,,
PO0007,2024-08-05,2024-08-09,ST003,WH03,148,,
PO0032,2024-05-10,2024-05-15,ST006,WH01,103,,
PO0041,2024-02-03,2024-02-07,ST006,WH02,16,,
PO0100,2024-07-03,2024-07-08,ST004,WH01,45,,
PO0023,2024-06-24,2024-06-27,ST002,WH01,123,,
PO0052,2024-09-09,2024-09-11,ST003,WH03,16,,
PO0037,2024-10-18,2024-10-23,ST006,WH02,55,,
PO0107,2024-10-07,2024-10-11,ST003,WH02,22,,
PO0017,2024-06-22,2024-06-26,ST001,WH02,94,,
PO0010,2024-04-28,2024-05-03,ST001,WH01,16,,
PO0012,2024-06-23,2024-06-25,ST002,WH02,46,,
PO0113,2024-05-09,2024-05-10,ST005,WH01,36,,
PO0113,2024-05-09,2024-05-11,ST003,WH01,109,,
PO0036,2024-07-24,2024-07-29,ST001,WH02,45,,
PO0065,2024-11-09,2024-11-11,ST005,WH01,42,,
