week,store_id,product_id,qty_sold,revenue,n_transactions,promotion_id,discount,has_promo,has_promo_next_week,lag_1w,lag_2w,lag_4w,lag_8w,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,store_taxonomies,store_type_enc,product_taxonomies,price,product_cat_enc,price_vs_category,week_of_year,month,quarter,is_month_end
2024-08-26,ST001,PRD003,3,522.0600000000001,1,,0.0,0,0,5.0,13.0,6.0,3.0,6.5,4.654746681256314,6.125,3.3990544903798514,minimart,0,personal_care,174.02,2,1.444002778326526,35,8,3,1
2024-09-02,ST001,PRD003,7,1218.14,1,,0.0,0,0,3.0,5.0,2.0,8.0,5.75,4.9916597106239795,6.125,3.3990544903798514,minimart,0,personal_care,174.02,2,1.444002778326526,36,9,3,0
2024-10-21,ST001,PRD003,4,696.08,1,,0.0,0,0,7.0,3.0,13.0,7.0,7.0,4.320493798938574,6.0,3.3380918415851215,minimart,0,personal_care,174.02,2,1.444002778326526,43,10,4,0
2024-11-11,ST001,PRD003,4,696.08,1,,0.0,0,0,4.0,7.0,5.0,5.0,4.75,1.7078251276599345,5.625,3.3779748793788107,minimart,0,personal_care,174.02,2,1.444002778326526,46,11,4,0
2024-11-11,ST001,PRD004,2,449.32,1,,0.0,0,0,7.0,3.0,11.0,4.0,6.0,3.829708431025352,4.75,2.9154759474226517,minimart,0,dairy,224.66,3,1.7940188723609085,46,11,4,0
2024-11-25,ST001,PRD004,6,1347.96,1,,0.0,0,0,2.0,7.0,3.0,4.0,3.75,2.2173557826083443,4.5,3.0705978943149557,minimart,0,dairy,224.66,3,1.7940188723609085,48,11,4,1
2024-06-10,ST001,PRD006,7,799.0500000000001,1,,0.0,0,0,8.0,6.0,6.0,7.0,7.0,1.1547005383792504,6.5,1.9272482233188628,minimart,0,personal_care,114.15,2,0.9472067414433567,24,6,2,0
2024-07-22,ST001,PRD006,3,342.45000000000005,1,,0.0,0,0,7.0,8.0,8.0,3.0,7.25,0.9574271077563365,6.5,1.9272482233188628,minimart,0,personal_care,114.15,2,0.9472067414433567,30,7,3,0
2024-07-29,ST001,PRD006,9,1027.3500000000001,1,,0.0,0,0,3.0,7.0,6.0,9.0,6.0,2.160246899469286,6.5,1.9272482233188628,minimart,0,personal_care,114.15,2,0.9472067414433567,31,7,3,1
2024-08-05,ST001,PRD006,5,570.75,1,,0.0,0,0,9.0,3.0,8.0,5.0,6.75,2.629955639676583,6.5,1.9272482233188628,minimart,0,personal_care,114.15,2,0.9472067414433567,32,8,3,0
2024-08-19,ST001,PRD006,1,114.15,1,,0.0,0,0,5.0,9.0,7.0,6.0,6.0,2.5819888974716108,6.5,1.9272482233188628,minimart,0,personal_care,114.15,2,0.9472067414433567,34,8,3,0
2024-09-02,ST001,PRD006,5,570.75,1,,0.0,0,0,1.0,5.0,3.0,8.0,4.5,3.415650255319866,5.875,2.7483761439387133,minimart,0,personal_care,114.15,2,0.9472067414433567,36,9,3,0
2024-11-18,ST001,PRD007,9,198.0,1,,0.0,0,0,5.0,6.0,5.0,2.0,4.5,1.732050807568876,4.625,2.774243783705495,minimart,0,dairy,22.0,3,0.17568065161550783,47,11,4,0
2024-12-02,ST001,PRD007,7,154.0,1,,0.0,0,0,9.0,5.0,2.0,1.0,5.5,2.886751345948128,5.5,2.9277002188456005,minimart,0,dairy,22.0,3,0.17568065161550783,49,12,4,0
2024-12-09,ST001,PRD007,11,242.0,1,,0.0,0,0,7.0,9.0,6.0,7.0,6.75,1.7078251276599319,6.25,2.314550249431379,minimart,0,dairy,22.0,3,0.17568065161550783,50,12,4,0
2024-12-16,ST001,PRD007,9,198.0,1,,0.0,0,0,11.0,7.0,5.0,9.0,8.0,2.5819888974716103,6.75,2.8660575211055543,minimart,0,dairy,22.0,3,0.17568065161550783,51,12,4,0
2024-12-09,ST001,PRD008,4,265.52,1,,0.0,0,0,4.0,2.0,6.0,2.0,4.5,1.9148542155126733,5.375,2.924648941081892,minimart,0,personal_care,66.38,2,0.5508154489444591,50,12,4,0
2024-09-23,ST001,PRD010,3,63.72,1,,0.0,0,0,8.0,7.0,6.0,3.0,6.25,1.7078251276599323,5.375,2.1339098923270927,minimart,0,cleaning,21.24,4,0.16238591729310156,39,9,3,0
2024-10-28,ST001,PRD010,13,276.12,2,,0.0,0,0,3.0,8.0,4.0,2.0,5.5,2.3804761428476158,5.375,2.1339098923270927,minimart,0,cleaning,21.24,4,0.16238591729310156,44,10,4,1
2024-11-11,ST001,PRD010,16,339.84,2,,0.0,0,0,13.0,3.0,7.0,7.0,7.75,4.112987559751022,6.75,3.011881234615431,minimart,0,cleaning,21.24,4,0.16238591729310156,46,11,4,0
2024-10-21,ST001,PRD012,5,838.6,1,,0.0,0,0,1.0,1.0,5.0,2.0,2.75,2.06155281280883,3.125,2.474873734152916,minimart,0,beverage,167.72,1,0.9912254942700688,43,10,4,0
2024-12-23,ST001,PRD012,7,1174.04,1,,0.0,0,0,5.0,1.0,4.0,3.0,2.75,2.06155281280883,3.5,2.5071326821120343,minimart,0,beverage,167.72,1,0.9912254942700688,52,12,4,0
2024-09-02,ST001,PRD014,6,400.79999999999995,1,,0.0,0,0,14.0,8.0,6.0,2.0,8.0,4.320493798938574,5.75,3.882193783343198,minimart,0,snack,66.8,5,0.8352695278668196,36,9,3,0
2024-09-30,ST001,PRD014,10,668.0,2,,0.0,0,0,6.0,14.0,4.0,5.0,8.0,4.320493798938574,6.25,3.575711717366808,minimart,0,snack,66.8,5,0.8352695278668196,40,9,3,1
