customer_id,customer_taxonomies,Unnamed: 2,Rows: 200
CUS0001,premium,,
CUS0002,regular,,
CUS0003,regular,,
CUS0004,regular,,
CUS0005,new,,
CUS0006,new,,
CUS0007,occasional,,
CUS0008,regular,,
CUS0009,occasional,,
CUS0010,premium,,
CUS0011,regular,,
CUS0012,premium,,
CUS0013,occasional,,
CUS0014,new,,
CUS0015,occasional,,
CUS0016,premium,,
CUS0017,regular,,
CUS0018,occasional,,
CUS0019,regular,,
CUS0020,new,,
CUS0021,new,,
CUS0022,new,,
CUS0023,regular,,
CUS0024,occasional,,
CUS0025,regular,,
CUS0026,regular,,
CUS0027,occasional,,
CUS0028,new,,
CUS0029,new,,
CUS0030,occasional,,
CUS0031,regular,,
CUS0032,regular,,
CUS0033,new,,
CUS0034,premium,,
CUS0035,premium,,
CUS0036,premium,,
CUS0037,regular,,
CUS0038,regular,,
CUS0039,new,,
CUS0040,premium,,
CUS0041,new,,
CUS0042,new,,
CUS0043,new,,
CUS0044,occasional,,
CUS0045,premium,,
CUS0046,premium,,
CUS0047,occasional,,
CUS0048,occasional,,
CUS0049,premium,,
CUS0050,occasional,,
CUS0051,new,,
CUS0052,regular,,
CUS0053,new,,
CUS0054,premium,,
CUS0055,occasional,,
CUS0056,regular,,
CUS0057,premium,,
CUS0058,occasional,,
CUS0059,regular,,
CUS0060,regular,,
CUS0061,occasional,,
CUS0062,regular,,
CUS0063,premium,,
CUS0064,occasional,,
CUS0065,new,,
CUS0066,premium,,
CUS0067,premium,,
CUS0068,occasional,,
CUS0069,occasional,,
CUS0070,regular,,
CUS0071,premium,,
CUS0072,regular,,
CUS0073,premium,,
CUS0074,premium,,
CUS0075,new,,
CUS0076,premium,,
CUS0077,regular,,
CUS0078,regular,,
CUS0079,new,,
CUS0080,regular,,
CUS0081,occasional,,
CUS0082,new,,
CUS0083,regular,,
CUS0084,regular,,
CUS0085,occasional,,
CUS0086,new,,
CUS0087,occasional,,
CUS0088,new,,
CUS0089,new,,
CUS0090,premium,,
CUS0091,regular,,
CUS0092,regular,,
CUS0093,premium,,
CUS0094,occasional,,
CUS0095,premium,,
CUS0096,regular,,
CUS0097,regular,,
CUS0098,premium,,
CUS0099,premium,,
CUS0100,premium,,
CUS0101,regular,,
CUS0102,premium,,
CUS0103,premium,,
CUS0104,occasional,,
CUS0105,premium,,
CUS0106,regular,,
CUS0107,occasional,,
CUS0108,new,,
CUS0109,regular,,
CUS0110,regular,,
CUS0111,new,,
CUS0112,regular,,
CUS0113,new,,
CUS0114,new,,
CUS0115,regular,,
CUS0116,premium,,
CUS0117,premium,,
CUS0118,new,,
CUS0119,occasional,,
CUS0120,new,,
CUS0121,new,,
CUS0122,new,,
CUS0123,premium,,
CUS0124,premium,,
CUS0125,premium,,
CUS0126,new,,
CUS0127,occasional,,
CUS0128,premium,,
CUS0129,regular,,
CUS0130,regular,,
CUS0131,regular,,
CUS0132,new,,
CUS0133,regular,,
CUS0134,new,,
CUS0135,regular,,
CUS0136,occasional,,
CUS0137,new,,
CUS0138,regular,,
CUS0139,premium,,
CUS0140,new,,
CUS0141,premium,,
CUS0142,premium,,
CUS0143,premium,,
CUS0144,premium,,
CUS0145,regular,,
CUS0146,regular,,
CUS0147,new,,
CUS0148,new,,
CUS0149,new,,
CUS0150,regular,,
CUS0151,new,,
CUS0152,premium,,
CUS0153,regular,,
CUS0154,new,,
CUS0155,premium,,
CUS0156,new,,
CUS0157,occasional,,
CUS0158,new,,
CUS0159,occasional,,
CUS0160,new,,
CUS0161,new,,
CUS0162,regular,,
CUS0163,regular,,
CUS0164,occasional,,
CUS0165,regular,,
CUS0166,premium,,
CUS0167,premium,,
CUS0168,occasional,,
CUS0169,premium,,
CUS0170,premium,,
CUS0171,new,,
CUS0172,regular,,
CUS0173,premium,,
CUS0174,premium,,
CUS0175,regular,,
CUS0176,premium,,
CUS0177,premium,,
CUS0178,regular,,
CUS0179,new,,
CUS0180,premium,,
CUS0181,regular,,
CUS0182,premium,,
CUS0183,premium,,
CUS0184,new,,
CUS0185,occasional,,
CUS0186,occasional,,
CUS0187,regular,,
CUS0188,occasional,,
CUS0189,regular,,
CUS0190,occasional,,
CUS0191,new,,
CUS0192,regular,,
CUS0193,occasional,,
CUS0194,new,,
CUS0195,occasional,,
CUS0196,premium,,
CUS0197,premium,,
CUS0198,new,,
CUS0199,premium,,
CUS0200,premium,,
