warehouse_id,po_id,product_id,po_price_total,po_price_per_unit,unit,manufacturing_date,po_date,arrival_date,expire_date,qty,Unnamed: 11,Rows: 120
WH03,PO0001,PRD028,18515.64,140.27,unit,2024-04-30,2024-06-19,2024-06-24,2025-06-24,132,,
WH03,PO0002,PRD001,4370.08,49.66,unit,2024-07-27,2024-08-06,2024-08-17,2024-11-15,88,,
WH02,PO0003,PRD005,7868.28,22.61,unit,2024-03-05,2024-03-17,2024-03-28,2025-03-28,348,,
WH01,PO0004,PRD004,76287.01,166.93,unit,2024-02-06,2024-03-06,2024-03-09,2025-03-09,457,,
WH03,PO0005,PRD027,32245.77,82.47,unit,2024-05-10,2024-07-02,2024-07-08,2025-01-04,391,,
WH01,PO0006,PRD018,25027.56,146.36,unit,2024-05-31,2024-07-27,2024-08-08,2025-02-04,171,,
WH03,PO0007,PRD021,16992.0,37.76,unit,2024-07-09,2024-07-30,2024-08-02,2025-08-02,450,,
WH02,PO0008,PRD011,10858.4,44.32,unit,2024-04-17,2024-05-07,2024-05-14,2024-08-12,245,,
WH01,PO0009,PRD018,29686.66,144.11,unit,2024-03-15,2024-04-23,2024-04-29,2025-04-29,206,,
WH01,PO0010,PRD017,2443.48,9.62,unit,2024-03-03,2024-04-24,2024-04-27,2024-10-24,254,,
WH03,PO0011,PRD007,6510.8,16.4,unit,2024-04-01,2024-05-22,2024-05-30,2026-05-30,397,,
WH02,PO0012,PRD009,12166.89,86.29,unit,2024-06-01,2024-06-18,2024-06-21,2025-06-21,141,,
WH02,PO0013,PRD018,31506.66,139.41,unit,2023-12-03,2024-01-20,2024-01-24,2026-01-23,226,,
WH01,PO0014,PRD013,25613.9,103.7,unit,2024-06-30,2024-08-11,2024-08-23,2024-11-21,247,,
WH03,PO0015,PRD009,4213.5,84.27,unit,2024-03-16,2024-05-10,2024-05-13,2026-05-13,50,,
WH03,PO0016,PRD024,10479.3,26.87,unit,2024-03-04,2024-04-10,2024-04-18,2024-07-17,390,,
